[18523835ms] [INFO] [SAFA API] <- 200 GET /invoice-drafts (11622ms) {method: GET, path: /invoice-drafts, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[18526742ms] [INFO] [SAFA API] <- 200 GET /settings/connections (14552ms) {method: GET, path: /settings/connections, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[18527355ms] [INFO] [SAFA API] <- 200 GET /jobs (14695ms) {method: GET, path: /jobs, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[18529307ms] [INFO] [SAFA API] <- 200 GET /invoices (17120ms) {method: GET, path: /invoices, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[18529338ms] [INFO] [SAFA API] <- 200 GET /auth/session (17153ms) {method: GET, path: /auth/session, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[18529735ms] [INFO] [SAFA API] <- 200 GET /settings (17546ms) {method: GET, path: /settings, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[18529780ms] [INFO] [SAFA API] <- 200 GET /products (17593ms) {method: GET, path: /products, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[18529853ms] [INFO] [SAFA API] <- 200 GET /integrations/hepsiburada/order-lines (17666ms) {method: GET, path: /integrations/hepsiburada/order-lines, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[18532155ms] [INFO] [SAFA API] <- 200 GET /automation/status (19966ms) {method: GET, path: /automation/status, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[18539286ms] [INFO] [SAFA API] <- 200 GET /external-invoices (27094ms) {method: GET, path: /external-invoices, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
